Item Description,Price (INR),Original Web Label
"Meal, Inexpensive Restaurant",110.00,Meal at an Inexpensive Restaurant
Water (0.33 liter bottle),13.24,Bottled Water (0.33 Liter)
"Milk (regular), (1 liter)",51.95,"Milk (Regular, 1 Liter)"
"Rice (white), (1kg)",66.00,White Rice (1 kg)
Eggs (regular) (12),72.55,"Eggs (12, Large Size)"
Local Cheese (1kg),468.21,Local Cheese (1 kg)
Chicken Fillets (1kg),249.88,Chicken Fillets (1 kg)
Monthly Pass (Regular Price),1000.00,Monthly Public Transport Pass (Regular Price)
Taxi Start (Normal Tariff),100.00,Taxi Start (Standard Tariff)
Taxi 1km (Normal Tariff),20.00,Taxi 1 km (Standard Tariff)
Taxi 1hour Waiting (Normal Tariff),152.50,Taxi 1 Hour Waiting (Standard Tariff)
Mobile Phone Monthly Plan with Calls and 10GB+ Data,312.18,"Mobile Phone Plan (Monthly, with Calls and 10GB+ Data)"
"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",686.00,"Broadband Internet (Unlimited Data, 60 Mbps or Higher)"
"Cinema, International Release, 1 Seat",250.00,Cinema Ticket (International Release)
