user_id,reviewer_name,age,lifestyle,location_id,location_name,area,amenity_type,visit_time,dwell_time_mins,rating,sentiment,review_text
1,Aditi Sharma,27,Techie,LOC_002,Brookefields Mall,Velandipalayam,mall,5:00 PM,153,3.5,mixed,Good selection of stores but the footfall on weekends makes it unpleasant. Weekday visits are far more enjoyable and the service is better.
1,Aditi Sharma,27,Techie,LOC_048,The Bier Library,Avinashi Road,pub_bar,9:00 AM,52,1.0,negative,The music was so deafeningly loud we had to lean into each other's ears to talk. The staff were visibly undertrained and got orders wrong repeatedly.
1,Aditi Sharma,27,Techie,LOC_018,Perur Pateeswarar Temple,Perur,temple,12:00 PM,25,2.5,negative,Disappointed with the cleanliness around the premises. Garbage near the entrance ruins the spiritual mood. Authorities should take better care.
1,Aditi Sharma,27,Techie,LOC_016,Ukkadam Street Stalls,Ukkadam,street_food,9:00 AM,30,4.0,positive,Incredibly fresh ingredients. The mini tiffin here is a steal for ₹30. Locals swear by it and now I do too.
1,Aditi Sharma,27,Techie,LOC_015,Naturals Spa Coimbatore,Peelamedu,spa,5:00 PM,78,2.5,negative,Facilities are not maintained. The steam room was broken and the towels were not fresh. Expected much better for the price I paid.
1,Aditi Sharma,27,Techie,LOC_009,Le Café RS Puram,RS Puram,cafe,5:00 PM,59,4.5,positive,"Perfect little spot for a working session. The playlist was chill, and the avocado toast hit different. Minimal crowd on weekdays — a blessing."
1,Aditi Sharma,27,Techie,LOC_007,Annapoorna Restaurant,RS Puram,restaurant,5:00 PM,97,4.0,positive,"The biryani here is legendary in the neighbourhood. Generous portions, authentic spice level, and the service is prompt. Always leaves you satisfied."
1,Aditi Sharma,27,Techie,LOC_035,Arya Bhavan Hotel,Town Hall,restaurant,5:00 PM,83,4.0,positive,Excellent South Indian thali for lunch. Very reasonable price and the quality is consistent every single visit. Staff are warm and welcoming.
1,Aditi Sharma,27,Techie,LOC_006,Kovai Kondattam Park,Vadavalli,park,10:30 AM,50,2.5,negative,Mosquitoes are unbearable in the evening near the pond section. No mosquito control measures in place. Hard to enjoy the greenery.
1,Aditi Sharma,27,Techie,LOC_038,Nightingale Park,RS Puram,park,9:00 AM,85,4.0,positive,Beautiful green space in the middle of the city chaos. Great for evening walks. The lighting is good and security is present throughout.
1,Aditi Sharma,27,Techie,LOC_028,The Third Wave Coffee,Saravanampatti,cafe,10:30 AM,56,4.5,positive,"Perfect little spot for a working session. The playlist was chill, and the avocado toast hit different. Minimal crowd on weekdays — a blessing."
1,Aditi Sharma,27,Techie,LOC_003,Marudhamalai Temple,Marudhamalai,temple,9:00 AM,11,1.0,negative,Disappointed with the cleanliness around the premises. Garbage near the entrance ruins the spiritual mood. Authorities should take better care.
1,Aditi Sharma,27,Techie,LOC_050,Heritage Public Library,Ramnagar,library,10:30 AM,112,3.5,mixed,A decent library with a good Tamil literature section. The English books are outdated though. Good for peace and quiet regardless.
1,Aditi Sharma,27,Techie,LOC_042,KG Hospital Ayurveda Spa,Saibaba Colony,spa,5:00 PM,53,2.5,negative,"The aromatherapy oils they used caused a mild skin reaction. When I reported it, the staff were more concerned about liability than my comfort."
1,Aditi Sharma,27,Techie,LOC_014,The Brew Room,Race Course,pub_bar,10:30 AM,5,1.0,negative,Outrageously overpriced drinks with no quality to match. The beer was warm and the cocktail tasted like straight juice. Not coming back.
1,Aditi Sharma,27,Techie,LOC_046,Cowork Station Saravanampatti,Saravanampatti,coworking_space,12:00 PM,400,5.0,positive,Perfect for remote workers. The coffee here is on the house and the community events are actually worth attending. Met some great freelancers here.
2,Rahul Krishnan,21,Student,LOC_014,The Brew Room,Race Course,pub_bar,8:00 PM,57,2.5,negative,Very aggressive crowd on Saturday nights. Security is inadequate for the volume of people they let in. Did not feel safe.
2,Rahul Krishnan,21,Student,LOC_037,Aishwarya Cinema,Gandhipuram,cinema,8:00 PM,167,3.5,mixed,"Good screen and sound, but the seat cushions in the middle section are worn out. Premium ticket prices should come with premium comfort."
2,Rahul Krishnan,21,Student,LOC_046,Cowork Station Saravanampatti,Saravanampatti,coworking_space,6:00 PM,222,2.5,negative,"The internet keeps dropping every hour. For a coworking space in 2024, this is embarrassing. Lost a client call because of connectivity issues."
2,Rahul Krishnan,21,Student,LOC_021,VOC Park & Zoo,Gandhipuram,park,5:30 PM,33,2.5,negative,Overgrown bushes blocking the walking trail. Water fountain was broken. The authorities seem to have forgotten this park exists.
2,Rahul Krishnan,21,Student,LOC_050,Heritage Public Library,Ramnagar,library,7:00 PM,176,5.0,positive,"Great place to spend a productive afternoon. Well-lit, quiet, and the AC is maintained well. The digital reference section is a bonus."
2,Rahul Krishnan,21,Student,LOC_042,KG Hospital Ayurveda Spa,Saibaba Colony,spa,5:30 PM,67,1.5,negative,The therapist was clearly not trained properly. The massage was awkward and uncomfortable. Nothing like the '90-minute bliss' they advertise.
2,Rahul Krishnan,21,Student,LOC_032,Arulmigu Vinayakar Temple,Ganapathy,temple,7:00 PM,27,3.5,mixed,"Peaceful in the early morning, chaotic by mid-morning. Go before 7 AM for the authentic experience. The festival days are overwhelming."
2,Rahul Krishnan,21,Student,LOC_026,Prozone Mall,Avinashi Road,mall,5:30 PM,64,2.5,negative,Half the stores were closed during my visit despite it being a weekend afternoon. Feels like the mall is losing tenants. Very disappointing.
2,Rahul Krishnan,21,Student,LOC_045,Sri Ayyappa Temple Ganapathy,Ganapathy,temple,6:00 PM,23,3.0,mixed,"Peaceful in the early morning, chaotic by mid-morning. Go before 7 AM for the authentic experience. The festival days are overwhelming."
2,Rahul Krishnan,21,Student,LOC_030,Siruvani Park Trail,Siruvani,park,6:00 PM,70,3.0,mixed,Good for morning walks but avoid evenings — lighting is insufficient and the crowd becomes rowdy. A lot of potential that's not being utilized.
2,Rahul Krishnan,21,Student,LOC_010,Big Cinemas Brookefields,Velandipalayam,cinema,7:00 PM,143,3.0,mixed,"Good screen and sound, but the seat cushions in the middle section are worn out. Premium ticket prices should come with premium comfort."
2,Rahul Krishnan,21,Student,LOC_017,Fun Republic Mall,Avinashi Road,mall,7:00 PM,148,3.5,mixed,The food court is great but the rest of the mall feels a bit tired. Some stores could use a refresh. Still a reliable hangout spot though.
2,Rahul Krishnan,21,Student,LOC_009,Le Café RS Puram,RS Puram,cafe,5:30 PM,36,2.5,negative,Very noisy on weekends. Can't hold a conversation without shouting. The AC was set so cold it was uncomfortable. Mediocre pastries at premium prices.
2,Rahul Krishnan,21,Student,LOC_016,Ukkadam Street Stalls,Ukkadam,street_food,6:00 PM,22,4.5,positive,Best kothu parotta I've had in years! The masala is perfectly spiced and the portions are generous. The owner is a gem.
2,Rahul Krishnan,21,Student,LOC_036,Fitness One RS Puram,RS Puram,gym,6:00 PM,31,1.0,negative,"The 'certified' trainer gave me a routine that hurt my back. When I complained, they were dismissive. Cancelled my membership the next day."
2,Rahul Krishnan,21,Student,LOC_035,Arya Bhavan Hotel,Town Hall,restaurant,6:00 PM,105,4.0,positive,Excellent South Indian thali for lunch. Very reasonable price and the quality is consistent every single visit. Staff are warm and welcoming.
3,Sanjay Mehta,38,Elite,LOC_046,Cowork Station Saravanampatti,Saravanampatti,coworking_space,11:00 AM,275,3.0,mixed,Good space with decent facilities. Internet can be hit or miss but the community vibe and clean environment more than compensate.
3,Sanjay Mehta,38,Elite,LOC_020,CIT Campus,Sarkar Samakulam,college,1:00 PM,342,3.5,mixed,Good academic base with some departments excelling more than others. Worth it if you're in the right branch.
3,Sanjay Mehta,38,Elite,LOC_026,Prozone Mall,Avinashi Road,mall,1:00 PM,200,5.0,positive,"Very clean and well-organized. The brand selection is impressive, and there's always some offer or promotion happening. Parking is ample."
3,Sanjay Mehta,38,Elite,LOC_043,Tech Mahindra Campus,Harlur,it_park,1:00 PM,446,3.0,mixed,"Good working environment overall. A few loose ends like the cafeteria queues during lunch, but nothing that ruins the day completely."
3,Sanjay Mehta,38,Elite,LOC_042,KG Hospital Ayurveda Spa,Saibaba Colony,spa,11:00 AM,133,5.0,positive,Absolutely rejuvenating! The therapist was professional and the pressure was exactly right. Left feeling like a new person. Highly recommend the deep tissue package.
3,Sanjay Mehta,38,Elite,LOC_024,Sangeetha Restaurant,Gandhipuram,restaurant,6:00 PM,47,3.5,mixed,The food quality is consistently good but the ambience could use a refresh. Old interiors don't match the premium prices they now charge.
3,Sanjay Mehta,38,Elite,LOC_029,Inox Cinemas,Avinashi Road,cinema,11:00 AM,154,3.0,mixed,"Good screen and sound, but the seat cushions in the middle section are worn out. Premium ticket prices should come with premium comfort."
3,Sanjay Mehta,38,Elite,LOC_034,Toit Brewpub,Race Course,pub_bar,1:00 PM,62,1.5,negative,Outrageously overpriced drinks with no quality to match. The beer was warm and the cocktail tasted like straight juice. Not coming back.
3,Sanjay Mehta,38,Elite,LOC_044,Kumaraguru IT Hub,Chinnavedampatti,it_park,6:00 PM,499,3.5,mixed,The office infrastructure is solid but the parking is a mess. Facilities team is responsive — they just need more resources to fix recurring issues.
3,Sanjay Mehta,38,Elite,LOC_008,Gold's Gym Saravanampatti,Saravanampatti,gym,6:00 PM,97,5.0,positive,Top-notch equipment and very hygienic. The trainers are certified and actually motivate you without being pushy. Worth every rupee.
3,Sanjay Mehta,38,Elite,LOC_016,Ukkadam Street Stalls,Ukkadam,street_food,11:00 AM,14,1.5,negative,Got a mild stomach upset after eating here. The hygiene standards in the kitchen area were questionable. Not risking it again.
3,Sanjay Mehta,38,Elite,LOC_015,Naturals Spa Coimbatore,Peelamedu,spa,11:00 AM,120,5.0,positive,Absolutely rejuvenating! The therapist was professional and the pressure was exactly right. Left feeling like a new person. Highly recommend the deep tissue package.
3,Sanjay Mehta,38,Elite,LOC_005,PSG Tech Campus,Peelamedu,college,6:00 PM,319,3.0,mixed,Good academic base with some departments excelling more than others. Worth it if you're in the right branch.
3,Sanjay Mehta,38,Elite,LOC_022,Hotel Annamalai,Gandhipuram,restaurant,11:00 AM,80,4.5,positive,Excellent South Indian thali for lunch. Very reasonable price and the quality is consistent every single visit. Staff are warm and welcoming.
3,Sanjay Mehta,38,Elite,LOC_002,Brookefields Mall,Velandipalayam,mall,3:00 PM,144,4.0,positive,"Great place to hang out on weekends. AC is always perfectly cold, the movie screens are top-notch, and the kids' play area kept my son busy."
3,Sanjay Mehta,38,Elite,LOC_039,ChettiNadu Mess Saibaba Colony,Saibaba Colony,street_food,6:00 PM,23,2.5,negative,"The taste has gone completely downhill since the original owner's son took over. Oily, under-spiced, and overpriced for what it is now."
3,Sanjay Mehta,38,Elite,LOC_035,Arya Bhavan Hotel,Town Hall,restaurant,6:00 PM,106,5.0,positive,The ambience is elegant without being pretentious. The seafood was fresh and beautifully presented. Easily the best dining experience I've had in Coimbatore.
3,Sanjay Mehta,38,Elite,LOC_001,TIDEL Park Coimbatore,Vilankurichi,it_park,11:00 AM,345,2.5,negative,The parking situation is a nightmare. Had to circle the campus for 30 minutes before finding a spot. Management needs to address this urgently.
4,Meera Iyer,52,Spiritual,LOC_004,Thudiyalur Street Food Hub,Thudiyalur,street_food,7:30 AM,24,4.0,positive,Incredibly fresh ingredients. The mini tiffin here is a steal for ₹30. Locals swear by it and now I do too.
4,Meera Iyer,52,Spiritual,LOC_050,Heritage Public Library,Ramnagar,library,7:30 AM,84,3.0,mixed,A decent library with a good Tamil literature section. The English books are outdated though. Good for peace and quiet regardless.
4,Meera Iyer,52,Spiritual,LOC_038,Nightingale Park,RS Puram,park,8:00 AM,69,4.5,positive,A hidden gem! The flower garden section is breathtaking in the morning. Perfect for a quiet read or a gentle jog.
4,Meera Iyer,52,Spiritual,LOC_031,Amirtha Library Peelamedu,Peelamedu,library,6:00 AM,116,4.0,positive,A calm and studious environment. The collection covers both academic and fiction genres well. Staff are helpful in locating resources.
4,Meera Iyer,52,Spiritual,LOC_033,91Springboard Coimbatore,Peelamedu,coworking_space,6:00 AM,366,4.0,positive,"Fast internet, great ergonomic chairs, and a very professional vibe. The meeting rooms are well-equipped. Worth the monthly subscription."
4,Meera Iyer,52,Spiritual,LOC_034,Toit Brewpub,Race Course,pub_bar,7:30 AM,87,2.0,negative,Outrageously overpriced drinks with no quality to match. The beer was warm and the cocktail tasted like straight juice. Not coming back.
