pg_name,area,latitude,longitude,listing_url,images,price_per_month,room_type,food_included,wifi,ac,rating,review_count,contact_number,distance_to_city_center_km,description
S A T CONSTRUCTION,V.O NAGAR Vadavalli,11.028437797563,76.897608968753,https://www.justdial.com/Coimbatore/S-A-T-CONSTRUCTION-S-A-T-Construction-Vadavalli/0422PX422-X422-250925192931-R2J4_BZDET,https://content.jdmagicbox.com/v2/comp/coimbatore/j4/0422px422.x422.250925192931.r2j4/catalogue/s-a-t-construction-vadavalli-coimbatore-builders-my4gfp73bb.jpg | https://content.jdmagicbox.com/v2/comp/coimbatore/j4/0422px422.x422.250925192931.r2j4/catalogue/s-a-t-construction-vadavalli-coimbatore-builders-pq574l0c12.jpg | https://content.jdmagicbox.com/v2/comp/coimbatore/j4/0422px422.x422.250925192931.r2j4/catalogue/s-a-t-construction-vadavalli-coimbatore-builders-ik1a81x4e8.jpg | https://content.jdmagicbox.com/v2/comp/coimbatore/j4/0422px422.x422.250925192931.r2j4/catalogue/s-a-t-construction-vadavalli-coimbatore-builders-k2m9i4asmj.jpg | https://content.jdmagicbox.com/v2/comp/coimbatore/j4/0422px422.x422.250925192931.r2j4/catalogue/s-a-t-construction-vadavalli-coimbatore-builders-f8v5npkdlc.jpg,Call for Price,"Estate Agents For Residential Rental, Real Estate Agents",No,No,No,5,1,08460480023,6.48,"Maruthamalai Main Road, V.O NAGAR, Vadavalli, Coimbatore - 641041 (S A T CONSTRUCTION)"
The N V R Towers,Trichy Road Ramanathapuram Coimbatore,10.9971005,76.9971122,https://www.justdial.com/Coimbatore/The-N-V-R-Towers-Behind-Dheepam-Hospital-Ramanathapuram-Coimbatore/0422PX422-X422-140512180206-X7H6_BZDET,https://content.jdmagicbox.com/coimbatore/h6/0422px422.x422.140512180206.x7h6/catalogue/the-n-v-r-towers-ramanathapuram-coimbatore-apartment-hotels-i5tz8.jpg | https://content.jdmagicbox.com/comp/coimbatore/h6/0422px422.x422.140512180206.x7h6/catalogue/the-n-v-r-towers-ramanathapuram-coimbatore-coimbatore-hotels-p00i6bxt1c.jpg | https://content.jdmagicbox.com/comp/coimbatore/h6/0422px422.x422.140512180206.x7h6/catalogue/the-n-v-r-towers-ramanathapuram-coimbatore-coimbatore-hotels-9wip9rnb1q.jpg | https://content.jdmagicbox.com/comp/coimbatore/h6/0422px422.x422.140512180206.x7h6/catalogue/the-n-v-r-towers-ramanathapuram-coimbatore-coimbatore-hotels-kt2c9cjuvm.jpg | https://content.jdmagicbox.com/comp/coimbatore/h6/0422px422.x422.140512180206.x7h6/catalogue/the-n-v-r-towers-ramanathapuram-coimbatore-coimbatore-hotels-v5ul7jngme.jpg,Call for Price,"Estate Agents For Residential Rental, Real Estate Agents, Estate Agents For Residence",No,No,No,4.4,71,NA,5.01,"Garden Crest Apartment, Varadharajathevar Thoppu , Trichy Road, Ramanathapuram Coimbatore, Coimbatore - 641045 (Behind Dheepam Hospital)"
Skyline Constructions,Kamaraj Road Uppilipalayam,11.0163105,77.0226472,https://www.justdial.com/Coimbatore/Skyline-Constructions-Behind-Vijaya-Bank-Uppilipalayam/0422PX422-X422-140120163914-R9W1_BZDET,https://content.jdmagicbox.com/v2/comp/coimbatore/w1/0422px422.x422.140120163914.r9w1/catalogue/skyline-constructions-uppilipalayam-coimbatore-builders-08d7trk3y7.jpg | https://content.jdmagicbox.com/v2/comp/coimbatore/w1/0422px422.x422.140120163914.r9w1/catalogue/skyline-constructions-uppilipalayam-coimbatore-builders-3lof3zktib.jpg | https://content.jdmagicbox.com/v2/comp/coimbatore/w1/0422px422.x422.140120163914.r9w1/catalogue/skyline-constructions-uppilipalayam-coimbatore-builders-g78fvn5ply.jpg | https://content.jdmagicbox.com/v2/comp/coimbatore/w1/0422px422.x422.140120163914.r9w1/catalogue/skyline-constructions-uppilipalayam-coimbatore-builders-2sufd39jar.jpg | https://content.jdmagicbox.com/v2/comp/coimbatore/w1/0422px422.x422.140120163914.r9w1/catalogue/skyline-constructions-uppilipalayam-coimbatore-builders-o5e4l4asg4.jpg,Call for Price,"Estate Agents For Residential Rental, Real Estate Agents",No,No,No,4.1,6,08460223626,7.3,"No 42/17, A K G Nagar , Kamaraj Road, Uppilipalayam, Coimbatore - 641015 (Behind Vijaya Bank)"
Shasti Real Estate,Pollichi Main Road Sundarapuram,10.95595575,76.97259155,https://www.justdial.com/Coimbatore/Shasti-Real-Estate-Sundarapuram/0422PX422-X422-240418095620-R6D5_BZDET,https://content.jdmagicbox.com/v2/comp/coimbatore/d5/0422px422.x422.240418095620.r6d5/catalogue/maya-real-estate-sundarapuram-coimbatore-real-estate-agents-9dl9tobbkf.jpg,Call for Price,"Estate Agents For Residential Rental, Real Estate Agents",No,No,No,4.5,12,08792071544,7.01,"Ganga Tower, 2 Nd Floor, Pollichi Main Road, Sundarapuram, Coimbatore - 641024"
A To Z Service Point,Old Weavers Colony Saibaba Colony,11.026705,76.947302,https://www.justdial.com/Coimbatore/A-To-Z-Service-Point-Saibaba-Colony/0422PX422-X422-151102125031-G1T9_BZDET,https://content.jdmagicbox.com/comp/coimbatore/t9/0422px422.x422.151102125031.g1t9/catalogue/a-to-z-service-point-saibaba-colony-coimbatore-estate-agents-1dok2es.jpg | https://content.jdmagicbox.com/def_content/estate_agents_for_residence/default-estate-agents-for-residence-0.jpg,Call for Price,"Personal Loans, Estate Agents For Residential Rental",No,No,No,3.5,19,NA,1.44,"Old Weavers Colony, Saibaba Colony, Coimbatore - 641011"
V S EZHILNIDHI & Lakshmi Real Estate,Bolumvampatti Road Thondamuthur,10.9861614,76.8420048,https://www.justdial.com/Coimbatore/V-S-EZHILNIDHI-Lakshmi-Real-Estate-Near-By-R-R-Nagar-Anna-Nagar-Thondamuthur/0422PX422-X422-110429104250-Q9Z7_BZDET,https://content.jdmagicbox.com/v2/comp/coimbatore/z7/0422px422.x422.110429104250.q9z7/catalogue/v-s-ezhilnidhi-and-lakshmi-real-estate-thondamuthur-coimbatore-estate-agents-65w8apqk7k.jpg | https://content.jdmagicbox.com/v2/comp/coimbatore/z7/0422px422.x422.110429104250.q9z7/catalogue/v-s-ezhilnidhi-and-lakshmi-real-estate-thondamuthur-coimbatore-estate-agents-170i8bmldt.jpg | https://content.jdmagicbox.com/v2/comp/coimbatore/z7/0422px422.x422.110429104250.q9z7/catalogue/v-s-ezhilnidhi-and-lakshmi-real-estate-thondamuthur-coimbatore-estate-agents-2ceytbdv0x.jpg | https://content.jdmagicbox.com/v2/comp/coimbatore/z7/0422px422.x422.110429104250.q9z7/catalogue/v-s-ezhilnidhi-and-lakshmi-real-estate-thondamuthur-coimbatore-estate-agents-ncd02zc080.jpg | https://content.jdmagicbox.com/v2/comp/coimbatore/z7/0422px422.x422.110429104250.q9z7/catalogue/v-s-ezhilnidhi-and-lakshmi-real-estate-thondamuthur-coimbatore-estate-agents-q02h7nvh1c.jpg,Call for Price,"Estate Agents For Residential Rental, Real Estate Agents",No,No,No,4.4,13,09054756882,12.88,"Bolumvampatti Road, Thondamuthur, Coimbatore - 641109 (Near By R R Nagar & Anna Nagar)"
P R M Real Estate,Lakshmi Nagar Vadavalli,11.0322989,76.8690332,https://www.justdial.com/Coimbatore/P-R-M-Real-Estate-Near-By-Lakshmi-Nagar-Arch-Vadavalli/0422PX422-X422-181120090449-U4Z7_BZDET,https://content.jdmagicbox.com/comp/coimbatore/z7/0422px422.x422.181120090449.u4z7/catalogue/p-r-m-real-estate-vadavalli-coimbatore-estate-agents-ell0w.jpg | https://content.jdmagicbox.com/comp/coimbatore/z7/0422px422.x422.181120090449.u4z7/catalogue/p-r-m-real-estate-vadavalli-coimbatore-estate-agents-ytqylhj0l2.jpg | https://content.jdmagicbox.com/comp/coimbatore/z7/0422px422.x422.181120090449.u4z7/catalogue/p-r-m-real-estate-vadavalli-coimbatore-estate-agents-a5pq0erezg.jpg | https://content.jdmagicbox.com/comp/coimbatore/z7/0422px422.x422.181120090449.u4z7/catalogue/p-r-m-real-estate-vadavalli-coimbatore-estate-agents-lje1nh7fz9.jpg | https://content.jdmagicbox.com/v2/comp/coimbatore/z7/0422px422.x422.181120090449.u4z7/catalogue/p-r-m-real-estate-vadavalli-coimbatore-estate-agents-for-land-u6za4ifhdk.jpg,Call for Price,"Estate Agents For Residential Rental, Real Estate Agents",No,No,No,4.5,10,07405593731,9.63,"C 21 DHAKSHA TAKTYA, Lakshmi Nagar, Vadavalli, Coimbatore - 641041 (Near By Lakshmi Nagar Arch)"
Shiv Consultants,Race Course Road Coimbatore Racecourse,10.9996797,76.973463,https://www.justdial.com/Coimbatore/Shiv-Consultants-Near-Velan-Coffee-Coimbatore-Racecourse/0422PX422-X422-180702162312-Q2W9_BZDET,https://content.jdmagicbox.com/v2/comp/coimbatore/w9/0422px422.x422.180702162312.q2w9/catalogue/shiv-consultants-maniakarampalayam-coimbatore-real-estate-agents-q9m21gwqgy.jpg | https://content.jdmagicbox.com/v2/comp/coimbatore/w9/0422px422.x422.180702162312.q2w9/catalogue/shiv-consultants-maniakarampalayam-coimbatore-real-estate-agents-e2yv1e68pr.jpg | https://content.jdmagicbox.com/v2/comp/coimbatore/w9/0422px422.x422.180702162312.q2w9/catalogue/shiv-consultants-coimbatore-racecourse-coimbatore-real-estate-agents-lyzf6sksjm.jpg | https://content.jdmagicbox.com/v2/comp/coimbatore/w9/0422px422.x422.180702162312.q2w9/catalogue/shiv-consultants-coimbatore-racecourse-coimbatore-real-estate-agents-gwv4xp71jm.jpg,Call for Price,"Estate Agents For Residential Rental, Real Estate Agents",No,No,No,5,3,08401056916,2.71,"Rajanarayanan Towers, Race Course Road, Coimbatore Racecourse, Coimbatore - 641018 (Near Velan Coffee)"
Sri Sairam Property Developer's,Veerakeralam Road Vadavalli,11.038122222222,76.903197222222,https://www.justdial.com/Coimbatore/Sri-Sairam-Property-Developers-Vadavalli/0422PX422-X422-241008211551-X7J7_BZDET,https://content.jdmagicbox.com/v2/comp/coimbatore/j7/0422px422.x422.241008211551.x7j7/catalogue/sri-sairam-property-developer-s-vadavalli-coimbatore-construction-companies-xfkyjfxj6i.jpg | https://content.jdmagicbox.com/v2/comp/coimbatore/j7/0422px422.x422.241008211551.x7j7/catalogue/sri-sairam-property-developer-s-vadavalli-coimbatore-construction-companies-f3pe8l6z5d.jpg | https://content.jdmagicbox.com/v2/comp/coimbatore/j7/0422px422.x422.241008211551.x7j7/catalogue/sri-sairam-property-developer-s-vadavalli-coimbatore-construction-companies-u292xkrel8.jpg | https://content.jdmagicbox.com/v2/comp/coimbatore/j7/0422px422.x422.241008211551.x7j7/catalogue/sri-sairam-property-developer-s-vadavalli-coimbatore-construction-companies-g0gm609prn.jpg | https://content.jdmagicbox.com/v2/comp/coimbatore/j7/0422px422.x422.241008211551.x7j7/catalogue/sri-sairam-property-developer-s-vadavalli-coimbatore-construction-companies-b6xzc4uoi6.jpg,Call for Price,"Estate Agents For Residential Rental, Real Estate Agents",No,No,No,5,17,07411575095,6.21,"Plot No 16, Sairam Complex Lingae Gounder Steet, Veerakeralam Road, Vadavalli, Coimbatore - 641041"
Sree Bavamani Consultancy,Pioneer Mills Road Peelamedu,11.027257972222,77.002419,https://www.justdial.com/Coimbatore/Sree-Bavamani-Consultancy-Backside-To-Psg-Tech-Peelamedu/0422PX422-X422-130928095724-J4N4_BZDET,https://content.jdmagicbox.com/comp/coimbatore/n4/0422px422.x422.130928095724.j4n4/catalogue/shree-bavamani-consultancy-peelamedu-coimbatore-estate-agents-81a0e.jpg | https://content.jdmagicbox.com/comp/coimbatore/n4/0422px422.x422.130928095724.j4n4/catalogue/sree-bavamani-consultancy-peelamedu-coimbatore-estate-agents-for-commercial-rental-13a7d2bi3c.jpg | https://content.jdmagicbox.com/comp/coimbatore/n4/0422px422.x422.130928095724.j4n4/catalogue/sree-bavamani-consultancy-peelamedu-coimbatore-estate-agents-for-commercial-rental-3532betec6.jpg | https://content.jdmagicbox.com/comp/coimbatore/n4/0422px422.x422.130928095724.j4n4/catalogue/sree-bavamani-consultancy-peelamedu-coimbatore-estate-agents-for-commercial-rental-dh39ub69z4.jpg | https://content.jdmagicbox.com/comp/coimbatore/n4/0422px422.x422.130928095724.j4n4/catalogue/sree-bavamani-consultancy-peelamedu-coimbatore-estate-agents-for-commercial-rental-ny1baqgsgl.jpg,Call for Price,"Estate Agents For Residential Rental, Real Estate Agents",No,No,No,4,69,08971910829,5.22,"Pioneer Mills Road, Peelamedu, Coimbatore - 641004 (Backside to Psg Tech)"
